state_name,year,total_geographical_area_sqkm,total_forest_area_sqkm,forest_cover_percentage,very_dense_forest_sqkm,moderate_dense_forest_sqkm,open_forest_sqkm,tree_cover_sqkm,total_green_cover_sqkm,forest_category,required_forest_increase_sqkm,air_quality_index,carbon_emission_tons,industrial_index,pollution_level,industry_category,population,estimated_o2_released_tons,estimated_co2_absorbed_tons,population_category,environmental_risk_score,region_category,o2_co2_balance,forest_area_ratio,population_density
Andhra Pradesh,1974,38853,37170,95.66828816,2319,10209,24642,1361,38531,Very High Forest,1115.1,80,207479,94,Moderate,Highly Industrial,180184533,185850,92925,Medium/Low Population,10.97,High,92925,0.956682882,4637.596402
Andhra Pradesh,1975,38853,27885,71.77051965,1934,11929,14022,3549,31434,Very High Forest,5577,223,216998,63,Very Poor,Moderate Industrial,71011727,139425,69712.5,Very High Population,93.58,Low,69712.5,0.717705197,1827.702545
Andhra Pradesh,1976,38853,20938,53.89030448,1624,9538,9776,5589,26527,High Forest,628.14,64,551153,95,Moderate,Highly Industrial,55905895,104690,52345,Very High Population,53,Medium,52345,0.538903045,1438.908064
Andhra Pradesh,1977,38853,38853,100,9105,19818,16366,5195,50484,Very High Forest,3623.12,144,92507,85,Poor,Highly Industrial,81344561,226445,113222.5,Very High Population,80.72,Medium,113222.5,1,2093.649422
Andhra Pradesh,1978,38853,38853,100,4279,23530,27680,2642,58131,Very High Forest,11097.8,202,332287,78,Very Poor,Highly Industrial,76024767,277445,138722.5,Very High Population,71.24,Low,138722.5,1,1956.728361
Andhra Pradesh,1979,38853,38853,100,2989,19285,23334,5563,51171,Very High Forest,9121.6,206,402360,37,Very Poor,Low Industrial,68916386,228040,114020,Very High Population,91.88,Medium,114020,1,1773.772579
Andhra Pradesh,1980,38853,31891,82.08117777,7487,7789,16615,2797,34688,Very High Forest,2551.28,101,170998,63,Poor,Moderate Industrial,103142283,159455,79727.5,Very High Population,58.8,Medium,79727.5,0.820811778,2654.680025
Andhra Pradesh,1981,38853,21333,54.90695699,7817,6640,6876,577,21910,High Forest,639.99,87,550631,89,Moderate,Highly Industrial,36999838,106665,53332.5,High Population,60.42,High,53332.5,0.54906957,952.3032456
Andhra Pradesh,1982,38853,38853,100,3211,22282,23340,4257,53090,Very High Forest,9766.6,217,254867,92,Very Poor,Highly Industrial,13139144,244165,122082.5,Medium/Low Population,35.36,High,122082.5,1,338.1757908
Andhra Pradesh,1983,38853,38853,100,10799,22168,15506,5812,54285,Very High Forest,3877.84,137,422687,73,Poor,Moderate Industrial,7126418,242365,121182.5,Medium/Low Population,25.24,Low,121182.5,1,183.420019
Andhra Pradesh,1984,38853,38853,100,6792,15614,28237,573,51216,Very High Forest,1519.29,64,593487,78,Moderate,Highly Industrial,4719820,253215,126607.5,Medium/Low Population,59.49,High,126607.5,1,121.4789077
Andhra Pradesh,1985,38853,32600,83.90600468,3618,11549,17433,678,33278,Very High Forest,4890,183,508683,40,Poor,Moderate Industrial,180184533,176410,81500,Very High Population,89.22,Low,94910,0.839060047,4637.596402
Andhra Pradesh,1986,38853,29043,74.75098448,2580,5046,21417,2891,31934,Very High Forest,5808.6,223,258727,80,Very Poor,Highly Industrial,96154701,145215,72607.5,Very High Population,35.78,Medium,72607.5,0.747509845,2474.833372
Andhra Pradesh,1987,38853,38853,100,8954,21032,20143,4063,54192,Very High Forest,1503.87,82,210423,55,Moderate,Moderate Industrial,5664373,250645,125322.5,Medium/Low Population,77.61,Medium,125322.5,1,145.7898489
Andhra Pradesh,1988,38853,38853,100,8083,19105,21938,5045,54171,Very High Forest,9825.2,220,62768,44,Very Poor,Moderate Industrial,49365574,245630,122815,High Population,93.58,Low,122815,1,1270.573032
Andhra Pradesh,1989,38853,34205,88.03695982,5698,9135,19372,675,34880,Very High Forest,2736.4,149,470568,57,Poor,Moderate Industrial,104876651,171025,85512.5,Very High Population,42.89,Low,85512.5,0.880369598,2699.319255
Andhra Pradesh,1990,38853,38853,100,4901,22501,21848,3226,52476,Very High Forest,9850,248,189886,73,Very Poor,Moderate Industrial,88193389,246250,123125,Very High Population,42.35,High,123125,1,2269.924819
Andhra Pradesh,1991,38853,38853,100,10834,16045,28639,2780,58298,Very High Forest,11103.6,242,381672,76,Very Poor,Highly Industrial,5783408,277590,138795,Very High Population,95.49,Low,138795,1,148.8535763
Andhra Pradesh,1992,38853,38853,100,11540,5259,23612,2648,43059,Very High Forest,8082.2,240,251034,77,Very Poor,Highly Industrial,33629594,202055,101027.5,High Population,95.89,Low,101027.5,1,865.5597766
Andhra Pradesh,1993,38853,31090,80.01956091,4292,21659,5139,5239,36329,Very High Forest,2487.2,104,479295,63,Poor,Moderate Industrial,31641715,155450,77725,High Population,75.88,Medium,77725,0.800195609,814.3956709
Andhra Pradesh,1994,38853,38853,100,8213,21918,11949,3206,45286,Very High Forest,3366.4,123,476387,84,Poor,Highly Industrial,87074029,210400,105200,Very High Population,28.48,Medium,105200,1,2241.114689
Andhra Pradesh,1995,38853,38853,100,9588,10669,24839,1809,46905,Very High Forest,1352.88,71,173165,59,Moderate,Moderate Industrial,104785429,225480,112740,Very High Population,23.5,Low,112740,1,2696.971379
Andhra Pradesh,1996,38853,35731,91.96458446,4008,16676,15047,4617,40348,Very High Forest,7146.2,231,553518,78,Very Poor,Highly Industrial,3104964,178655,89327.5,Medium/Low Population,83.28,Low,89327.5,0.919645845,79.91568219
Andhra Pradesh,1997,38853,29591,76.16142898,2482,18590,8519,2838,32429,Very High Forest,2367.28,136,437252,51,Poor,Moderate Industrial,77760359,147955,73977.5,Very High Population,95.21,Medium,73977.5,0.76161429,2001.399094
Andhra Pradesh,1998,38853,37344,96.11613003,9428,5469,22447,3010,40354,Very High Forest,5601.6,168,283709,89,Poor,Highly Industrial,68651528,186720,93360,Very High Population,58.81,High,93360,0.9611613,1766.955653
Andhra Pradesh,1999,38853,38853,100,5042,24620,10883,1697,42242,Very High Forest,8109,230,67003,80,Very Poor,Highly Industrial,44489264,202725,101362.5,High Population,52.62,Medium,101362.5,1,1145.066378
Andhra Pradesh,2000,38853,24214,62.32208581,4071,13172,6971,3600,27814,Very High Forest,3632.1,182,73297,60,Poor,Moderate Industrial,45206041,121070,60535,High Population,56.27,High,60535,0.623220858,1163.514812
Andhra Pradesh,2001,38853,38853,100,9166,16979,26602,4727,57474,Very High Forest,7912.05,194,306699,38,Poor,Low Industrial,1298173,263735,131867.5,Medium/Low Population,14.04,Low,131867.5,1,33.41242632
Andhra Pradesh,2002,38853,20055,51.6176357,4322,9452,6281,630,20685,High Forest,601.65,89,156293,74,Moderate,Moderate Industrial,118275110,176410,88205,Very High Population,60.15,High,88205,0.516176357,3044.169305
Andhra Pradesh,2003,38853,38853,100,6626,17581,29659,791,54657,Very High Forest,10773.2,234,508880,48,Very Poor,Moderate Industrial,81118245,210990,105495,Very High Population,34.21,Medium,105495,1,2087.824492
Andhra Pradesh,2004,38853,38853,100,1556,11863,28779,4727,46925,Very High Forest,1265.94,92,409841,43,Moderate,Moderate Industrial,112976335,223680,111840,Very High Population,46.76,Low,111840,1,2907.789231
Andhra Pradesh,2005,38853,38853,100,4678,24638,15420,1295,46031,Very High Forest,3578.88,132,486167,86,Poor,Highly Industrial,41358142,172380,86190,High Population,99.49,Medium,86190,1,1064.477441
Andhra Pradesh,2006,38853,34476,88.73446066,5637,23035,5804,792,35268,Very High Forest,6895.2,210,50171,67,Very Poor,Moderate Industrial,27502723,129070,64535,High Population,28.52,Low,64535,0.887344607,707.8661365
Andhra Pradesh,2007,38853,25814,66.44017193,1966,8503,15345,4606,30420,Very High Forest,774.42,64,211049,90,Moderate,Highly Industrial,6431868,160255,80127.5,Medium/Low Population,28.74,Medium,80127.5,0.664401719,165.5436646
Andhra Pradesh,2008,38853,32051,82.49298638,6287,8814,16950,2115,34166,Very High Forest,961.53,51,385309,35,Moderate,Low Industrial,21489151,176410,112252.5,High Population,50.48,Medium,64157.5,0.824929864,553.0885903
Andhra Pradesh,2009,38853,38853,100,1246,18155,25500,4204,49105,Very High Forest,1347.03,59,225856,66,Moderate,Moderate Industrial,23747214,238640,119320,High Population,85.41,Medium,119320,1,611.2067022
Andhra Pradesh,2010,38853,38853,100,11986,23006,12736,3791,51519,Very High Forest,3818.24,135,204856,41,Poor,Moderate Industrial,19243965,89545,44772.5,Medium/Low Population,59.07,Medium,44772.5,1,495.3019072
Andhra Pradesh,2011,38853,17909,46.0942527,2282,10028,5599,3943,21852,High Forest,2686.35,157,501364,44,Poor,Moderate Industrial,35907287,167535,83767.5,High Population,25.24,Medium,83767.5,0.460942527,924.1831261
Andhra Pradesh,2012,38853,33507,86.24044475,3594,14539,15374,3450,36957,Very High Forest,6701.4,206,278338,89,Very Poor,Highly Industrial,11354998,206575,103287.5,Medium/Low Population,8.53,High,103287.5,0.862404448,292.2553728
Andhra Pradesh,2013,38853,38853,100,3121,14165,24029,5960,47275,Very High Forest,3305.2,106,322900,79,Poor,Highly Industrial,116401337,158100,79050,Very High Population,81.61,Low,79050,1,2995.942064
Andhra Pradesh,2014,38853,31620,81.38367694,9479,16382,5759,4736,36356,Very High Forest,2529.6,114,410547,75,Poor,Highly Industrial,86159702,238460,119230,Very High Population,3.01,Medium,119230,0.813836769,2217.581705
Andhra Pradesh,2015,38853,38853,100,11754,6781,29157,1287,48979,Very High Forest,3815.36,129,434475,74,Poor,Moderate Industrial,24079737,298575,149287.5,High Population,78.12,Medium,149287.5,1,619.7651919
Andhra Pradesh,2016,38853,38853,100,10983,21438,27294,4222,63937,Very High Forest,8957.25,184,591749,49,Poor,Moderate Industrial,26196025,212395,106197.5,High Population,87.06,Medium,106197.5,1,674.2342934
Andhra Pradesh,2017,38853,38853,100,9744,5500,27235,3085,45564,Very High Forest,3398.32,138,102930,50,Poor,Moderate Industrial,118826940,224970,112485,Very High Population,53.11,Low,112485,1,3058.372326
Andhra Pradesh,2018,38853,38853,100,11043,15661,18290,875,45869,Very High Forest,6749.1,194,555379,63,Poor,Moderate Industrial,47844641,236405,118202.5,High Population,37.65,High,118202.5,1,1231.4272
Andhra Pradesh,2019,38853,38853,100,1148,22250,23883,5749,53030,Very High Forest,7092.15,193,269479,78,Poor,Highly Industrial,31730440,135630,67815,High Population,46.2,Low,67815,1,816.6792783
Andhra Pradesh,2020,38853,27126,69.81700255,11006,10440,5680,1636,28762,Very High Forest,5425.2,239,534739,60,Very Poor,Moderate Industrial,36428812,163655,81827.5,High Population,17.55,Low,81827.5,0.698170025,937.6061565
Andhra Pradesh,2021,38853,32731,84.24317299,5694,12405,14632,1714,34445,Very High Forest,4909.65,170,430584,90,Poor,Highly Industrial,97403988,196190,98095,Very High Population,33.41,High,98095,0.84243173,2506.987569
Andhra Pradesh,2022,38853,38853,100,1615,20543,17080,5728,44966,Very High Forest,7847.6,222,449591,41,Very Poor,Moderate Industrial,94010996,216435,108217.5,Very High Population,65.22,Low,108217.5,1,2419.658611
Arunachal Pradesh,1974,81607,31687,38.82877694,5860,5361,20466,2034,33721,Moderate Forest,950.61,67,310934,37,Moderate,Low Industrial,103565395,158435,79217.5,Very High Population,30.65,Low,79217.5,0.388287769,1269.074896
Arunachal Pradesh,1975,81607,41617,50.99685076,10867,13837,16913,756,42373,High Forest,3329.36,119,205080,43,Poor,Moderate Industrial,27119814,208085,104042.5,High Population,97.59,Medium,104042.5,0.509968508,332.3221537
Arunachal Pradesh,1976,81607,41115,50.38170745,10214,5156,25745,5058,46173,High Forest,8223,205,178968,85,Very Poor,Highly Industrial,49830426,205575,102787.5,High Population,26.48,High,102787.5,0.503817075,610.6146041
Arunachal Pradesh,1977,81607,61294,75.10875293,11074,23077,27143,3582,64876,Very High Forest,12258.8,232,539150,76,Very Poor,Highly Industrial,116527433,306470,153235,Very High Population,3.18,Low,153235,0.751087529,1427.909775
Arunachal Pradesh,1978,81607,30128,36.91840161,1506,23505,5117,2412,32540,Moderate Forest,6025.6,216,56839,83,Very Poor,Highly Industrial,38164427,150640,75320,High Population,26.59,High,75320,0.369184016,467.6611933
Arunachal Pradesh,1979,81607,60918,74.64800814,11326,21772,27820,3970,64888,Very High Forest,4873.44,135,527490,87,Poor,Highly Industrial,180184533,176410,152295,High Population,3.18,Low,24115,0.746480081,2207.954379
Arunachal Pradesh,1980,81607,47843,58.62609825,10147,17207,20489,1332,49175,High Forest,3827.44,119,574478,80,Poor,Highly Industrial,77558948,239215,119607.5,Very High Population,74.28,Low,119607.5,0.586260983,950.3957749
Arunachal Pradesh,1981,81607,29856,36.58509687,4834,15830,9192,2925,32781,Moderate Forest,895.68,54,207590,34,Moderate,Low Industrial,33757183,149280,74640,High Population,92.84,Medium,74640,0.365850969,413.655483
Arunachal Pradesh,1982,81607,60445,74.068401,10217,22135,28093,2625,63070,Very High Forest,12089,224,260735,94,Very Poor,Highly Industrial,108822219,302225,151112.5,Very High Population,16.55,High,151112.5,0.74068401,1333.491232
Arunachal Pradesh,1983,81607,43650,53.48805862,9279,18497,15874,2367,46017,High Forest,8730,230,89026,32,Very Poor,Low Industrial,87842328,218250,88205,Very High Population,54.07,Low,130045,0.534880586,1076.406779
Arunachal Pradesh,1984,81607,50941,62.42234122,7630,22148,21163,1293,52234,Very High Forest,1528.23,99,540631,88,Moderate,Highly Industrial,85937992,254705,127352.5,Very High Population,93.73,Medium,127352.5,0.624223412,1053.07133
Arunachal Pradesh,1985,81607,41913,51.35956474,6419,11854,23640,864,42777,High Forest,8382.6,208,275964,67,Very Poor,Moderate Industrial,29850292,209565,104782.5,High Population,58.4,Medium,104782.5,0.513595647,365.7810237
Arunachal Pradesh,1986,81607,46621,57.12867769,5235,17664,23722,1537,48158,High Forest,9324.2,214,146534,32,Very Poor,Low Industrial,54399368,233105,116552.5,Very High Population,9.85,Medium,116552.5,0.571286777,666.6017376
Arunachal Pradesh,1987,81607,38558,47.24839781,2239,23883,12436,712,39270,High Forest,5783.7,189,229891,89,Poor,Highly Industrial,13140418,196170,98085,Medium/Low Population,49,Low,98085,0.472483978,161.0207213
Arunachal Pradesh,1988,81607,39234,48.07675812,3252,22727,13255,1932,41166,High Forest,3138.72,148,100897,48,Poor,Moderate Industrial,25698276,245815,122907.5,High Population,78.86,Low,122907.5,0.480767581,314.9028392
Arunachal Pradesh,1989,81607,49163,60.24360655,6687,13164,29312,3769,52932,Very High Forest,9832.6,225,551055,86,Very Poor,Highly Industrial,101135725,223715,111857.5,Very High Population,13.11,Medium,111857.5,0.602436066,1239.302082
Arunachal Pradesh,1990,81607,44743,54.82740451,4971,21715,18057,1937,46680,High Forest,3579.44,144,55969,85,Poor,Highly Industrial,100370174,198605,99302.5,Very High Population,55.12,High,99302.5,0.548274045,1229.921134
Arunachal Pradesh,1991,81607,39721,48.67352065,10222,19770,9729,5251,44972,High Forest,1191.63,95,201701,67,Moderate,Moderate Industrial,10051281,114880,57440,Very High Population,38.27,Low,57440,0.486735207,123.1668974
Arunachal Pradesh,1992,81607,22976,28.15444754,3103,11305,8568,2560,25536,Moderate Forest,3446.4,175,395886,35,Poor,Low Industrial,50625776,133155,66577.5,Very High Population,42.38,Medium,66577.5,0.281544475,620.3607044
Arunachal Pradesh,1993,81607,26631,32.63322999,2231,8226,16174,3234,29865,Moderate Forest,3994.65,170,166902,70,Poor,Moderate Industrial,46851895,93015,46507.5,High Population,89.19,High,46507.5,0.3263323,574.1161297
Arunachal Pradesh,1994,81607,18603,22.79583859,3803,7039,7761,4851,23454,Moderate Forest,558.09,74,106886,50,Moderate,Moderate Industrial,18839038,309825,154912.5,Medium/Low Population,73.67,Low,154912.5,0.227958386,230.8507604
Arunachal Pradesh,1995,81607,61965,75.93098631,10836,23692,27437,1901,63866,Very High Forest,12393,214,567357,43,Very Poor,Moderate Industrial,5843711,256800,128400,Medium/Low Population,40.99,High,128400,0.759309863,71.60796255
Arunachal Pradesh,1996,81607,51360,62.93577757,10220,23516,17624,3653,55013,Very High Forest,4108.8,139,323636,48,Poor,Moderate Industrial,10051281,199715,99857.5,Very High Population,92.12,Low,99857.5,0.629357776,123.1668974
Arunachal Pradesh,1997,81607,39943,48.94555614,11351,18895,9697,797,40740,High Forest,7988.6,211,181551,82,Very Poor,Highly Industrial,67574499,127940,63970,Very High Population,17.78,Low,63970,0.489455561,828.0478268
Arunachal Pradesh,1998,81607,25588,31.35515336,11444,6016,8128,2671,28259,Moderate Forest,767.64,52,289673,81,Moderate,Highly Industrial,85154936,112365,56182.5,Very High Population,22.76,Medium,56182.5,0.313551534,1043.475878
Arunachal Pradesh,1999,81607,22473,27.53807884,3100,7613,11760,2575,25048,Moderate Forest,3370.95,195,299704,61,Poor,Moderate Industrial,13122711,191235,95617.5,Medium/Low Population,49.14,Medium,95617.5,0.275380788,160.8037423
Arunachal Pradesh,2000,81607,38247,46.86730305,10447,16244,11556,5881,44128,High Forest,5737.05,185,474081,81,Poor,Highly Industrial,110318741,239415,119707.5,Very High Population,76.21,Low,119707.5,0.46867303,1351.82939
Arunachal Pradesh,2001,81607,47883,58.67511365,4194,13990,29699,2632,50515,High Forest,3830.64,113,90155,49,Poor,Moderate Industrial,111814573,219530,109765,Very High Population,19.51,High,109765,0.586751137,1370.159092
Arunachal Pradesh,2002,81607,25968,31.82079969,5111,11697,9160,1329,27297,Moderate Forest,5193.6,235,529046,90,Very Poor,Highly Industrial,11439799,255190,127595,Medium/Low Population,75.68,Medium,127595,0.318207997,140.1815898
Arunachal Pradesh,2003,81607,43906,53.8017572,8600,14401,20905,1836,45742,High Forest,8781.2,203,168418,81,Very Poor,Highly Industrial,11499880,169285,84642.5,Very High Population,61.75,High,84642.5,0.538017572,140.9178134
Arunachal Pradesh,2004,81607,51038,62.54120357,4458,24248,22332,1772,52810,Very High Forest,1531.14,72,121838,84,Moderate,Highly Industrial,78394383,218785,109392.5,Very High Population,34.24,High,109392.5,0.625412036,960.6330707
Arunachal Pradesh,2005,81607,33857,41.48786256,6154,21913,5790,1768,35625,High Forest,5078.55,180,492919,52,Poor,Moderate Industrial,76731263,300005,150002.5,Very High Population,35.99,Low,150002.5,0.414878626,940.2534464
Arunachal Pradesh,2006,81607,43757,53.61917483,6393,12753,24611,1316,45073,High Forest,1312.71,90,228867,94,Moderate,Highly Industrial,77870429,175755,87877.5,Very High Population,22.81,Medium,87877.5,0.536191748,954.2126166
Arunachal Pradesh,2007,81607,60001,73.52433002,8596,21800,29605,960,60961,Very High Forest,1800.03,100,445301,35,Moderate,Low Industrial,106079892,155955,77977.5,Very High Population,89.87,High,77977.5,0.7352433,1299.887167
Arunachal Pradesh,2008,81607,35151,43.07351085,1561,18429,15161,5056,40207,High Forest,5272.65,192,472838,55,Poor,Moderate Industrial,64875693,163035,81517.5,Very High Population,12.49,Low,81517.5,0.430735109,794.9770608
Arunachal Pradesh,2009,81607,31191,38.22098594,10317,13559,7315,5349,36540,Moderate Forest,2495.28,102,359868,37,Poor,Low Industrial,5233234,152870,76435,Medium/Low Population,63.63,High,76435,0.382209859,64.12726849
Arunachal Pradesh,2010,81607,32607,39.95613121,1852,14412,16343,4420,37027,Moderate Forest,978.21,98,432955,75,Moderate,Highly Industrial,16694311,134525,67262.5,Medium/Low Population,90.28,High,67262.5,0.399561312,204.5695957
Arunachal Pradesh,2011,81607,30574,37.46492335,3753,18023,8798,2919,33493,Moderate Forest,2445.92,123,364711,81,Poor,Highly Industrial,63704015,230890,115445,Very High Population,79.38,Low,115445,0.374649234,780.6194934
Arunachal Pradesh,2012,81607,26905,32.9689855,3020,5306,18579,4956,31861,Moderate Forest,2152.4,129,442335,92,Poor,Highly Industrial,37162630,111940,55970,High Population,53.09,Medium,55970,0.329689855,455.3853223
Arunachal Pradesh,2013,81607,46178,56.5858321,1712,21778,22688,2079,48257,High Forest,6926.7,181,377589,48,Poor,Moderate Industrial,30606491,237535,118767.5,High Population,7.55,High,118767.5,0.565858321,375.0473734
Arunachal Pradesh,2014,81607,22388,27.43392111,4505,7151,10732,4672,27060,Moderate Forest,3358.2,176,334651,82,Poor,Highly Industrial,80088036,167150,83575,Very High Population,11.56,High,83575,0.274339211,981.3868418
Arunachal Pradesh,2015,81607,47507,58.21436887,1741,19206,26560,892,48399,High Forest,3800.56,131,310290,76,Poor,Highly Industrial,13733787,225690,112845,Medium/Low Population,19.55,Medium,112845,0.582143689,168.2917764
Arunachal Pradesh,2016,81607,33430,40.96462313,9073,17155,7202,5377,38807,High Forest,1002.9,50,109226,43,Good,Moderate Industrial,107686379,202890,101445,Very High Population,9.89,Medium,101445,0.409646231,1319.572819
Arunachal Pradesh,2017,81607,45138,55.31143162,5838,15220,24080,1462,46600,High Forest,1354.14,96,153050,74,Moderate,Moderate Industrial,110492774,204465,102232.5,Very High Population,81.46,High,102232.5,0.553114316,1353.961964
Arunachal Pradesh,2018,81607,40578,49.72367567,9799,7970,22809,1220,41798,High Forest,8115.6,218,455554,43,Very Poor,Moderate Industrial,45416532,110635,55317.5,High Population,18.19,Medium,55317.5,0.497236757,556.5274057
Arunachal Pradesh,2019,81607,40893,50.10967196,11246,11116,18531,4449,45342,High Forest,1226.79,62,596616,61,Moderate,Moderate Industrial,22741718,133190,66595,High Population,71.77,Low,66595,0.50109672,278.6736187
Arunachal Pradesh,2020,81607,22127,27.1140956,3879,11259,6989,4583,26710,Moderate Forest,663.81,79,566521,30,Moderate,Low Industrial,117678741,247940,123970,Very High Population,82.72,Medium,123970,0.271140956,1442.017731
Arunachal Pradesh,2021,81607,26638,32.64180769,4319,16311,6008,2954,29592,Moderate Forest,799.14,70,571607,35,Moderate,Low Industrial,15476054,223165,111582.5,Medium/Low Population,14.29,Low,111582.5,0.326418077,189.6412563
Assam,1974,156881,39042,24.88637885,6355,15122,17565,3734,42776,Moderate Forest,5856.3,192,341308,43,Poor,Moderate Industrial,45691919,195210,97605,Very High Population,6.37,High,97605,0.248863788,291.2520892
